Date,Income
30/3/2008,£0
30/6/2008,£0
30/9/2008,£0
30/12/2008,£0
30/3/2009,£0
30/6/2009,£0
30/9/2009,£0
30/12/2009,£0
30/3/2010,£0
30/6/2010,£0
30/9/2010,£0
30/12/2010,£0
30/3/2011,£0
30/6/2011,£0
30/9/2011,£0
30/12/2011,£0
30/3/2012,£0
30/6/2012,£0
30/9/2012,£0
30/12/2012,£0
30/3/2013,£0
30/6/2013,£0
30/9/2013,£0
30/12/2013,£0
30/3/2014,£0
30/6/2014,£0
30/9/2014,£0
30/12/2014,£0
30/3/2015,£0
30/6/2015,£1200
30/9/2015,£0
30/12/2015,£700
30/3/2016,£0
30/6/2016,£500
30/9/2016,£1250
30/12/2016,£500
30/3/2017,£0
30/6/2017,£2500
30/9/2017,£0
30/12/2017,£0
30/3/2018,£0
30/6/2018,£0
30/9/2018,£0
30/12/2018,£0
30/3/2019,£0
30/6/2019,£0
30/9/2019,£0
30/12/2019,£0
30/3/2020,£0
30/6/2020,£0
30/9/2020,£0
30/12/2020,£0
30/3/2021,£0
30/6/2021,£0
30/9/2021,£0
30/12/2021,£0
30/3/2022,£0
30/6/2022,£0
30/9/2022,£0
30/12/2022,£0
30/3/2023,£0
30/6/2023,£0
30/9/2023,£0
30/12/2023,£0
30/3/2024,£0
30/6/2024,£0
30/9/2024,£0
30/12/2024,£0
30/3/2025,£0
30/6/2025,£0
30/9/2025,£0
30/12/2025,£0
30/3/2026,£0
30/6/2026,£0
30/9/2026,£0
30/12/2026,£0
